sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP
midi\Counterpoint\test\test-tritone.mid;20;6;414;sp5 1skip turns around leap;3rd;5;Low;Turns around leap;1skip+close, close+1skip, 1skip+1skip {sp5};;1;0;0;0
midi\Counterpoint\test\test-tritone.mid;20;10;176;Ascending leap;maj6;5;Low;Leaps;;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;20;12;28;;;5;Low;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;20;14;19;Audible tritone: framed;unresolved;5;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;20;18;214;Direct movement to 5th;leap;5;Low;Counterpoint;Direct movement to perfect consonance with stepwize motion in higher voice;not cadence;0;40;1;0
midi\Counterpoint\test\test-tritone.mid;20;20;343;Audible tritone: accented;unresolved;5;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, last note is long or repeated;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;20;20;316;Parallel 5ths: < 4/4 apart;downbeat;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;Second interval is downbeat;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;20;24;240;1/2 after 1/4 or 1/8 in measure;inside;5;Low;Rhythm;;Before penultimate measure;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;20;24;276;Harmonic dissonance upbeat;m2;5;Low;Counterpoint;;Minor second;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;20;24;223;Harmonic dissonance;<< longer;5;Low;Counterpoint;;Dissonance is longer than previous consonance;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;20;28;175;Ascending leap;m6;5;Low;Leaps;;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;20;28;24;Voices overlap;overlap;5;Low;Counterpoint;;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;20;32;414;sp5 1skip turns around leap;3rd;5;Low;Turns around leap;1skip+close, close+1skip, 1skip+1skip {sp5};;1;0;0;0
midi\Counterpoint\test\test-tritone.mid;21;0;67;Skipped notes;1;5;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;21;4;414;sp5 1skip turns around leap;3rd;5;Low;Turns around leap;1skip+close, close+1skip, 1skip+1skip {sp5};;1;0;0;0
midi\Counterpoint\test\test-tritone.mid;21;10;367;Tritone: adjacent framed;on climax;5;Low;sp2-5 Tritone;Melodic tritone within measure, framed by two melody direction changes;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;21;10;366;Tritone: adjacent framed;unresolved;5;Low;sp2-5 Tritone;Melodic tritone within measure, framed by two melody direction changes;;0;100;0;0
midi\Counterpoint\test\test-tritone.mid;21;10;214;Direct movement to 5th;leap;5;Low;Counterpoint;Direct movement to perfect consonance with stepwize motion in higher voice;not cadence;0;40;1;0
midi\Counterpoint\test\test-tritone.mid;21;12;343;Audible tritone: accented;unresolved;5;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, last note is long or repeated;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;21;12;364;Audible tritone: accented;on climax;5;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, last note is long or repeated;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;21;12;82;Perfect consonance;db. culm.;5;Low;Counterpoint;;Downbeat culmination;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;21;16;240;1/2 after 1/4 or 1/8 in measure;inside;5;Low;Rhythm;;Before penultimate measure;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;21;16;223;Harmonic dissonance;<< longer;5;Low;Counterpoint;;Dissonance is longer than previous consonance;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;21;24;181;Descending leap;m6;5;Low;Leaps;;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;22;0;269;First harmonic interval;I-V;3;Low;Counterpoint;Low-high note;;-1;0;1;0
