sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP;Log
midi\Counterpoint\test\test-vint.mid;11;0;178;Ascending leap;maj7;1;Low;Leaps;;;0;100;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;0;131;Close + 1skip turns around leap;>5th;1;Low;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;Not good for 8va;0;35;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;1;210;Direct movement to 5th;stepwise;1;Low;Counterpoint;Direct movement to perfect consonance with stepwize motion in higher voice;not cadence;0;40;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;2;82;Perfect consonance;db. culm.;1;Low;Counterpoint;;Downbeat culmination;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;2;181;Descending leap;m6;1;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;2;143;Close + 2skip turns around leap;>5th;1;Low;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;0;100;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;2;215;Direct movement to 8va;leap;1;Low;Counterpoint;Direct movement to perfect consonance with leaping motion in higher voice;not cadence;0;40;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;3;65;1skip + 1skip turns around leap;5th;1;Low;Turns around leap;There is one note going in the same direction before and after leap;;0;60;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;4;75;Penultimate measure;no V or II note;1;Low;Counterpoint;;No V or II note;0;30;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;4;208;Direct movement to 5th;stepw. cadence;1;Low;Counterpoint;Direct movement to perfect consonance with stepwize motion in higher voice;;1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;5;355;Last harmonic interval;I-V;1;Low;Counterpoint;Low-high note;;0;60;0;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;2;505;Consecutive unidir. leaps;2 x >3rds;1;Low;Leaps;;Two consecutive unidirectional leaps, while one of them is longer than 3rd;0;100;1;0;2018-04-24 09:33 Global false positive
midi\Melody\test\test-leap-size.mid;0;0;176;Ascending leap;maj6;0;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;0;69;Skipped notes;>1 joined;0;Low;Range;Skipped notes that do not appear within this voice;;0;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;1;182;Descending leap;maj6;0;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;1;131;Close + 1skip turns around leap;>5th;0;Low;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;Not good for 8va;0;35;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;2;181;Descending leap;m6;0;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;3;175;Ascending leap;m6;0;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;3;131;Close + 1skip turns around leap;>5th;0;Low;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;Not good for 8va;0;35;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;4;178;Ascending leap;maj7;0;Low;Leaps;;;0;100;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;5;184;Descending leap;maj7;0;Low;Leaps;;;0;100;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;5;22;Leap back;>6th;0;Low;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than 6th;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;5;131;Close + 1skip turns around leap;>5th;0;Low;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;Not good for 8va;0;35;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;6;183;Descending leap;m7;0;Low;Leaps;;;0;30;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;7;177;Ascending leap;m7;0;Low;Leaps;;;0;30;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;7;22;Leap back;>6th;0;Low;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than 6th;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;7;131;Close + 1skip turns around leap;>5th;0;Low;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;Not good for 8va;0;35;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;8;179;Ascending leap;8th;0;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;9;185;Descending leap;8th;0;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;9;22;Leap back;>6th;0;Low;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than 6th;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;9;131;Close + 1skip turns around leap;>5th;0;Low;Turns around leap;There is immediate melody direction change before leap, but after leap melody direction changes only after one note, which goes in the same direction as leap;Not good for 8va;0;35;1;0;Imported from midi lyrics
midi\Melody\test\test-leap-size.mid;0;10;185;Descending leap;8th;0;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
